[90024.312] , Domains, 0.000020
[90024.312] , Leaders, 0.007799
[90024.312] , Routes, 0.000107
[90024.312] , Notifications, 0.000093
[90024.328] , Technologies, 0.005603
[90024.328] , Features, 0.000962
[90024.328] , Improvements, 0.004428
[90024.328] , ResourceClasses, 0.000018
[90024.328] , Resources, 0.002619
[90024.328] , Terrains, 0.000283
[90024.328] , Yields, 0.000044
[90024.328] , Automates, 0.000043
[90024.328] , Builds, 0.001974
[90024.328] , Commands, 0.000087
[90024.328] , Controls, 0.000244
[90024.328] , EntityEvents, 0.000586
[90024.328] , Missions, 0.000362
[90024.343] , MultiUnitFormations, 0.000593
[90024.343] , SpecialUnits, 0.000107
[90024.343] , UnitClasses, 0.000259
[90024.359] , UnitPromotions, 0.017977
[90024.390] , Units, 0.040092
[90024.406] , Civilizations, 0.014711
[90024.406] , MinorCivilizations, 0.002136
[90024.421] , Traits, 0.006389
[90024.421] , Religions, 0.000059
[90024.437] , Beliefs, 0.013366
[90024.437] , LeagueSpecialSessions, 0.000047
[90024.437] , LeagueNames, 0.000019
[90024.437] , LeagueProjects, 0.000035
[90024.437] , LeagueProjectRewards, 0.000056
[90024.437] , Resolutions, 0.000195
[90024.437] , PrefetchGameData, 0.202817
[90024.437] , UpdatePlayableCivilizationCounts, 0.000001
[90024.437] , SetGlobalActionInfo, 0.000105
